year,month,Average Rainfall,nino3,nino3.4,nino4,Arabian_Sea,equatorialindianocean,bayofbengal
1968,1,0.1503524072580645,24.563785710879284,25.985921582887705,27.539079674486803,25.83279645652174,27.743032352727276,26.52917092882562
1968,2,0.07478969614137931,25.14364467958271,26.035904035650624,27.53379819648094,25.928395154891305,28.07472825454545,26.843094359430605
1968,3,0.004384096774193548,26.01212966766021,26.51502117647059,27.400181741935484,26.92064566847826,28.64962768909091,27.837264323843417
1968,4,0.00053193125,26.84224812518629,27.322055602495546,27.817422328445744,28.29535808423913,29.26420330181818,29.02507471530249
1968,5,0.2841254133225807,26.31301533681073,27.45759916221034,28.183875903225804,29.231793016304348,29.055201898181817,29.40129322419929
1968,6,0.00018047708333333333,26.42509351415797,27.90327356862745,28.54369076539589,28.64513420923913,28.504536118181814,28.87504377935943
1968,7,3.6648696788322583,25.962320801788376,27.564277705882358,28.540559478005868,27.328336035326085,27.85017564363637,28.524353302491104
1968,8,0.5200933267048387,25.49371533681073,27.22815668627451,28.413991363636367,26.639248442934782,27.68521521090909,28.2559045088968
1968,9,0.026653504168333335,25.329673943368107,26.84659513547237,28.020032228739005,27.2012371875,27.829039414545456,28.459619298932385
1968,10,0.024765662299999998,25.30384863040239,27.08709064171123,28.470193087976543,28.16555209782609,27.990159312727272,28.623234644128114
1968,11,0.0,25.449151850968704,27.41424254010695,28.979492126099707,27.75369611956522,28.03359264181818,28.115363704626336
1968,12,0.0,25.79075046497764,27.329551463458117,28.586840630498536,26.83210818478261,28.119580763636364,27.33134930960854
1969,1,0.08129168648387096,26.05084170640835,27.457071750445632,28.857476366568918,26.265275380434783,28.28426347454545,27.26842566548043
1969,2,7.860044642857144e-05,26.742231023845005,27.751829290552585,29.05087067448681,26.32807453804348,28.597009772727272,27.71167297508897
1969,3,0.004150570564516129,27.580827165424736,27.839913258467025,28.573371724340177,27.568589736413045,29.226925285454545,28.802593266903912
1969,4,0.0029604395833333335,27.90019445603577,28.07407118003565,28.663599521994136,29.15805577445652,29.708442685454543,29.7972882455516
1969,5,0.038529373,27.797666947839044,28.23640310160428,28.89049494721408,30.037192260869563,29.4153095,30.17981997153025
1969,6,0.06844975208666666,27.18354541281669,27.94764729946524,28.50446499706745,28.871349923913044,28.360386241818183,29.421852049822064
1969,7,0.9564228216290322,26.008784682563338,27.34198344919786,28.3616254398827,27.57989305978261,28.022135745454545,28.905563416370107
1969,8,2.4029474115354836,25.71270756482861,27.41383491087344,28.59640753958944,26.70992078260869,27.875035314545453,28.519629117437724
1969,9,0.36394252400333327,25.706378013412817,27.260133285204997,28.4546116744868,27.30289098913044,28.025054583636365,28.74185019217082
1969,10,0.03693279235483871,25.860807172876303,27.423671616755797,28.571437002932548,28.47490357065217,28.310945134545456,28.895146832740213
1969,11,0.0,25.935146651266763,27.41320531729055,28.63222806158358,28.0006949048913,28.24810443636364,28.300030487544483
1969,12,0.0,26.105656566318928,27.28166270231729,28.35467266568915,27.064396649456523,28.22326531818182,27.268128832740214
1970,1,0.06262302821774193,26.33142447093889,27.121825001782533,28.14844817302053,26.467037972826084,28.274029083636364,26.99111571886121
1970,2,0.5013725346428571,26.53386189418778,27.11221483065954,28.033020513196483,26.47178719021739,28.45695116,27.267799238434165
1970,3,0.012953715727419355,27.065500080476895,27.50855965775401,28.16968860997067,27.494794133152176,29.14854595090909,28.426254544483985
1970,4,0.0004988541666666667,27.3010503219076,27.913956174688057,28.51224401466276,29.006200027173914,29.62546123454545,29.507870758007115
1970,5,0.2786600151387097,26.53863051862891,27.83761641532977,28.808355240469208,29.762238779891305,29.28358599090909,29.840442181494662
1970,6,1.20563762601,25.69895812071535,27.368463310160426,28.50304998533724,28.779488005434786,28.569630054545453,29.17817558718861
1970,7,2.9250096090741935,24.10419408494784,26.25929505882353,28.02256929032258,27.439128326086955,28.170432945454547,28.818903295373666
1970,8,6.146730677429032,23.697203485842028,25.93121017468805,27.74776229032258,26.92405295380435,27.960285589090912,28.494198555160143
1970,9,1.8852938698433335,23.995583776453056,25.985899882352943,27.61641395307918,27.104561948369565,28.02189288363636,28.663949857651247
1970,10,0.0,24.194681293591653,26.096482796791445,27.595903777126097,27.90795966847826,27.94495791818182,28.601292793594308
1970,11,0.0,23.999072977645305,25.834237035650627,27.511673900293253,27.627017005434784,27.983104067272727,28.0312958683274
1970,12,0.0,24.04575428464977,25.49372410160428,26.86006037829912,26.675390203804344,27.85355955454545,27.228329288256223
1971,1,0.0631787762016129,24.38636002235469,25.124255126559717,26.222109507331385,25.905586494565217,27.687975303636364,26.96733882562277
1971,2,0.004503263392857143,24.995860350223545,25.47057506238859,26.46048701759531,25.81534455978261,27.73411745454545,27.248278911032028
1971,3,0.0005926310483870968,25.977054062593147,25.952331575757576,26.562467856304984,26.93184130978261,28.3446263,28.197466523131677
1971,4,0.014976977083333334,26.762029096870343,26.78943085204991,27.243282410557185,28.497567328804347,29.230994998181817,29.027070583629893
1971,5,0.8275918195838711,26.281452606557377,27.03307835650624,27.72073895894428,29.20634711956522,28.95525601818182,29.40329862633452
1971,6,2.2690746138583338,25.73687906408346,26.89929290730838,27.75481961876833,28.228507078804345,28.320058663636363,28.736246238434163
1971,7,2.3328147149241936,25.10950300596125,26.604289604278076,27.63196037829912,26.993026423913044,27.872234643636364,28.25416237366548
1971,8,1.7532456151145162,24.34980155588674,26.24985987700535,27.461412407624632,26.517018627717395,27.76078891090909,28.18559593950178
1971,9,0.6266001218833334,24.29459461400894,26.03100343137255,27.24510502346041,26.894394345108697,27.837493667272728,28.47042934519573
1971,10,0.039466228830645156,24.01111528017884,25.96861440285205,27.62024019941349,27.68287192391304,27.80060376,28.340593807829183
1971,11,0.0,24.05097202384501,25.813051117647056,27.52248809090909,27.39490060326087,27.93183150909091,27.79129487900356
1971,12,0.0,24.14678138152012,25.683639707664884,27.316237879765392,26.42713622282609,27.818519943636364,26.85863125266904
1972,1,0.0015087822580645161,25.11763786736215,25.986662488413547,27.201397964809384,25.910718152173917,27.874533865454545,26.73632115302491
1972,2,0.06649198923275862,26.09804921460507,26.5288128912656,27.53155786510264,25.8367129375,28.06503869636364,27.08512123843417
1972,3,0.0,26.949153877794338,26.981129306595363,27.69731637829912,26.887447233695653,28.533982190909093,27.983078583629894
1972,4,0.06281271666666667,27.82964200149032,27.93281352228164,28.45302024633431,28.547370847826087,29.343408247272727,29.183935686832744
1972,5,0.20500145666935485,27.6245714366617,28.164794172905527,28.9396357829912,29.58458860869565,29.25646310909091,29.597478483985768
1972,6,0.6543333364933334,27.42087480327869,28.302676937611405,29.04676373020528,29.031387301630435,28.81037711090909,28.969528241992883
1972,7,0.8821092782451612,27.00969134575261,28.046491081996432,28.987406049853373,27.783322211956524,28.337037603636364,28.5723607544484
1972,8,4.027156263298387,27.0858756780924,28.185802828877005,28.82699963049853,27.018948013586957,28.031758229090908,28.305542935943063
1972,9,0.04120783125,26.610271390462,27.949043739750447,28.80761331964809,27.66125703804348,28.30200646,28.54009059430605
1972,10,0.007665488912903226,26.88866289567809,28.479173992869875,29.47125778299121,28.675630739130437,28.525447038181817,29.03175095729537
1972,11,0.0,27.15502392995529,28.503004755793228,29.27295097360704,28.313276290760868,28.648500447272728,28.748392804270463
1972,12,5.728225806451613e-05,27.59857766915052,28.72143306238859,29.38950888856305,27.2172864048913,28.57042715818182,27.74004159430605
1973,1,0.006632524193548388,27.24867325931445,28.126806885918004,28.95992140469209,26.16896995652174,28.512295501818183,27.42932624911032
1973,2,0.017814133928571427,27.19202083457526,27.800228185383244,28.50270836656892,26.145314679347827,28.577488505454543,27.68598125978648
1973,3,0.0,27.47022043219076,27.799067696969697,28.343432565982408,27.317441051630432,29.191878561818186,28.74398380782918
1973,4,0.0,27.2172196780924,27.67071060606061,28.120141736070384,28.769433057065218,29.742735670909088,29.677235007117435
1973,5,0.46524005345967745,26.306764985096876,27.29811192335116,28.26680621114369,29.63991001358696,29.494452907272727,30.02361610320285
1973,6,0.8084854636250001,25.613556092399403,26.84007614795009,27.715003161290323,28.57421879076087,28.664131372727272,29.265119395017795
1973,7,2.494001626179032,24.52397565275708,26.115331632798576,27.45301535190616,27.49893453804348,28.281116078181817,28.88702358718861
1973,8,9.043635834504839,23.965233262295083,25.71504612121212,27.14347727859237,26.54364085597826,27.9460379,28.62022203202847
1973,9,1.1911914437666666,23.904404281669148,25.39791936720143,26.79259264516129,26.92203147826087,28.09937208,28.88470203202847
1973,10,0.0011838437499999998,23.762213892697467,25.20462282352941,26.65464257478006,28.10714725,28.14697883818182,28.981809195729536
1973,11,0.0,23.59356802086438,24.66134367379679,26.18548809384164,27.697354179347823,27.975373041818184,28.503990149466198
1973,12,0.0006186290322580645,23.723398198211623,24.483375219251336,25.61847140469208,26.519263451086957,27.74349922727273,27.236148907473307
1974,1,0.0,24.13806223248882,24.61102518003565,25.70034973020528,25.726101410326088,27.59899532909091,26.570291416370107
1974,2,0.0,25.246238722801788,25.28191381639929,26.184922565982404,25.842849798913043,27.88714691636364,26.92209434163701
1974,3,0.0,26.231908590163933,25.847812447415333,26.31495258944281,27.075601116847828,28.52915197272727,28.031423163701067
1974,4,0.00677544896,26.98177145603577,26.77883025311943,27.074505615835776,28.50639474728261,29.08833339090909,29.14967403202847
1974,5,0.7413687873645161,26.76917061997019,27.06786556327986,27.53592290615836,29.31741141304348,28.920566938181818,29.49112896797153
1974,6,0.8621253126083332,26.317863035767516,26.99208530124777,27.49221305278592,28.487639385869567,28.38060412909091,28.77205625978648
1974,7,3.1582275646064515,25.500109877794337,26.599294065953657,27.367750504398824,27.466931877717396,28.08765328727273,28.5704116227758
1974,8,0.6547113316741935,25.15295015350224,26.58724514616756,27.477707319648093,26.791110453804347,27.74387585090909,28.392884658362988
1974,9,0.15543167919999998,24.78618715201192,26.427419142602496,27.388037938416424,27.0857353125,27.7963385,28.605609946619214
1974,10,0.297682813533871,24.439692922503728,26.02886710338681,27.216969876832845,27.84607104619565,27.85458645636364,28.65115577580071
1974,11,0.0,24.38442703874814,25.73828740106952,27.0147664457478,27.55357940760869,27.747361174545453,28.32156881494662
1974,12,0.006198402217741935,24.53603649180328,25.75547753832442,26.9508246627566,26.56446083423913,27.937228894545456,27.352507893238435
1975,1,0.0009373951612903226,25.23726772280179,26.200103645276293,27.18190273607038,25.61427630706521,27.689060045454543,26.59049844128114
1975,2,0.0012475267857142858,25.91616638897169,26.41947893226381,27.3330236568915,25.78771683152174,27.94931169272727,26.99250293238434
1975,3,0.0029685181451612904,26.72646333233979,26.654034263814616,27.25093373607038,26.554708722826085,28.452577383636363,28.02714882562277
1975,4,0.0,27.270228265275705,27.16448729946524,27.49919795601173,27.882841125,29.155229974545453,28.869684637010675
1975,5,0.04762924092903225,26.259295757078988,26.85900414973262,27.52833257478006,29.29569447554348,29.13407876181818,29.325082818505336
1975,6,2.3175725816466666,25.468652694485844,26.446983597147952,27.345944920821115,28.27284779619565,28.465873332727277,28.74609170462633
1975,7,7.464668849193548,24.849575895678093,26.024085171122994,26.94314191495601,27.20480072554348,28.223306201818183,28.515531893238432
1975,8,4.592010517704838,24.50419335469449,25.77465043315508,26.569549346041057,26.633412578804347,27.77906782727273,28.34953234519573
1975,9,4.324396426380001,23.984541001490317,25.36622199821747,26.32355674486804,26.816723005434785,27.820511243636364,28.510150640569396
1975,10,0.8739562389548388,23.865031193740684,25.317564556149733,26.32961239589443,27.497989567934784,27.62566019818182,28.351972733096087
1975,11,0.0,23.9151455514158,25.249053709447416,26.31913356891496,27.15467454347826,27.646390703636364,27.81227145195729
1975,12,0.005085065525806452,23.76669399254844,24.99496721212121,26.08514676539589,26.31227117663044,27.580115130909093,26.882029704626333
1976,1,0.02153708870967742,24.07595008494784,24.80003445098039,26.0808113431085,25.52147094021739,27.47554803454545,26.22259901423488
